task_index,instruction,scoring_points
trezor#trezor-suite#4129,"In the trezor-suite repository/app, there was a firmware update bug where, when updating a device running firmware older than 1.6.3 (and the device was already initialized), the Suite repeatedly installed only the intermediary firmware (1.10.0) and never completed the update to the latest firmware (1.10.2). Your task is to identify the root cause component (file/module) and the root cause reason for this behavior.","The predicted root cause component is packages/suite/src/reducers/firmware/firmwareReducer.ts (module: packages.suite.src.reducers.firmware.firmwareReducer). The predicted root cause reason is that the firmware update state (targetRelease) was not updated/reset after the intermediary firmware was installed — i.e., missing state update to set the target release to the latest version (or reset when transitioning), causing the updater to repeatedly select/install the intermediary firmware."
trezor#trezor-suite#4101,"In trezor-suite, there was an unhandled error during a firmware update on a Model One device: when the user aborted the firmware installation by pressing the device button (or reconnecting in bootloader and then aborting), Suite displayed an error and the firmware update flow failed. Your task is to identify the root cause component and reason","The predicted root cause component is the trezor-connect iframe bundle included in the app (packages/suite-data/files/connect/js/iframe.c177a20ab3c1b068663c.js — the trezor-connect module / iframe script packaged under packages/suite-data/files/connect/js, later replaced by iframe.a8737f59423666392ed3.js). The predicted root cause reason is incorrect/insufficient error handling in the connect iframe: the firmware-abort path produced a null/undefined error object and the code accessed error.code (or similar) without a null check, causing an unhandled TypeError (missing null-check / improper error normalization)."
trezor#trezor-suite#4096,"In trezor-suite, there was a bug in the Trade/Exchange UI: if a user types non-numeric text into the crypto amount input and then presses the 'All' (or a fraction) button, the app kicks off the 'Compare offers' process which never completes and appears to run indefinitely. Your task is to identify the root cause component (which file/module was responsible) and the root cause reason (what went wrong) that allowed this behavior to occur.","The predicted root cause component is packages/suite/src/views/wallet/coinmarket/exchange/components/ExchangeForm/Inputs/index.tsx (module: packages.suite.src.views.wallet.coinmarket.exchange.components.ExchangeForm.Inputs) and also the analogous sell component packages/suite/src/views/wallet/coinmarket/sell/components/SellForm/Inputs/index.tsx (module: packages.suite.src.views.wallet.coinmarket.sell.components.SellForm.Inputs). The predicted root cause reason is that the code did not clear/reset the crypto/output amount input when the user pressed 'All' (missing setValue to empty the input), leaving non-numeric text in the form state; this invalid value was then used by the compose/compare-offers flow and caused the compare-offers process to run indefinitely (state with invalid input not handled/validated)."
trezor#trezor-suite#3915,"In trezor-suite, the app crashes when a user connects a device running firmware 1.6.0 while Suite is asking to connect a device (this happens during onboarding and when Suite is already started). Your task is to identify the root cause component and reason that led to this crash.","The predicted root cause component is packages/suite/src/components/firmware/FirmwareInitial.tsx (Module: packages.suite.src.components.firmware.FirmwareInitial) and packages/suite/src/components/firmware/FirmwareInstallation.tsx (Module: packages.suite.src.components.firmware.FirmwareInstallation). The predicted root cause reason is that the code assumed a cachedDevice object was always present and accessed its properties without null/undefined checks (missing optional chaining / null check), causing a runtime error when cachedDevice was undefined."
trezor#trezor-suite#3534,"In the trezor-suite app, letting the application run idle for a long period (with a remembered wallet, transaction history and all coins enabled) caused the UI renderer to consume more and more memory and eventually the app became unusable when the renderer crashed from running out of memory. Your task is to identify the root cause component and reason that led to this failure: which file/module in the repository is associated with the fix introduced, and what was the underlying reason the renderer crashed and left the user unable to continue.",The predicted root cause component is packages/suite-desktop/src-electron/modules/crash-recover.ts (module: packages.suite-desktop.src-electron.modules.crash-recover). The predicted root cause reason is the renderer process running out of memory (OOM) — a memory leak / unbounded memory growth in the renderer leading to process termination and no prior recovery handling (renderer crash left the app unusable).
trezor#trezor-suite#3376,"In trezor-suite, typing into the Transaction history search input while the wallet is still discovering transactions causes the app's render process to crash and the Suite window to go completely white (the typed characters also do not appear). This happens when starting to type a long string immediately after opening an account with a long transaction history and discovery still running. Your task is to identify the root cause component (file/module) and the root cause reason for this failure.","The predicted root cause component is packages/suite/src/views/wallet/transactions/components/TransactionList/components/Actions/components/SearchAction/index.tsx (Module: packages.suite.src.views.wallet.transactions.components.TransactionList.components.Actions.components.SearchAction.index). The predicted root cause reason is an unguarded / inefficient ""fetch all"" search implementation that triggered heavy or repeated fetchTransactions calls on every keystroke during discovery (missing state/guard to prevent repeated fetches), causing excessive work and ultimately crashing the renderer (performance/state-management bug)."
ente-io#ente#1279,"In the ente repository/app, there was a failure: F‑Droid could not build the Ente Auth Android app. The failure appeared during the app build process (the problem surfaced around the authentication/two‑factor UI and related dependencies). Your task is to identify the root cause component and reason: which file or module was responsible and what specifically went wrong to cause the F‑Droid build to fail.",The predicted root cause component is auth/lib/ui/two_factor_authentication_page.dart (auth.lib.ui.two_factor_authentication_page.TwoFactorAuthenticationPage) and the related dependency specification in auth/pubspec.lock / auth/pubspec.yaml (the pinput package entry). The predicted root cause reason is an incompatible pinput package version / API change (mismatched widget/API usage between Pinput and the older PinPut API) causing a dependency/API incompatibility that broke the F‑Droid build.
AntennaPod#AntennaPod#7877,"In the AntennaPod app, there was a bug where after entering multi-select in the Queue, tapping the Select All action and then pulling down to refresh the list, the app became unresponsive (UI froze / stopped responding). Your task is to identify the root cause component and reason","The predicted root cause component is app/src/main/java/de/danoeh/antennapod/ui/episodeslist/EpisodeItemListAdapter.java (module: de.danoeh.antennapod.ui.episodeslist.EpisodeItemListAdapter). The predicted root cause reason is that the adapter removed/failed to provide a click handler for the item's secondary action button while in action mode (setOnClickListener(null)), so selection toggling was missing/incorrect — a missing click listener / missing toggle-selection behavior that caused inconsistent selection state and led to the UI becoming unresponsive during refresh."
AntennaPod#AntennaPod#7813,"In the AntennaPod app, there was a security issue where an external app could cause AntennaPod to add podcast subscriptions or import feeds without the user's knowledge or consent simply by sending a broadcast intent. This could happen during normal app startup or when AntennaPod queried for feeds. Your task is to identify the root cause component and reason: which file/module in the codebase allowed this to happen and what went wrong that enabled unauthorized subscriptions/imports.","The predicted root cause component is app/src/main/java/de/danoeh/antennapod/spa/SPAReceiver.java (Module: de.danoeh.antennapod.spa.SPAReceiver) — additionally the receiver declaration in app/src/main/AndroidManifest.xml and the SPA-related utility/call in app/src/main/java/de/danoeh/antennapod/PodcastApp.java (Module: de.danoeh.antennapod.PodcastApp / de.danoeh.antennapod.spa.SPAUtil) are part of the vulnerable flow. The predicted root cause reason is that an exported BroadcastReceiver accepted and processed untrusted broadcast intents (and their extras) without validation or authorization (no permission checks / missing input validation), which allowed arbitrary apps to supply feed URLs that were imported/added silently into the app."
AntennaPod#AntennaPod#7743,"In the AntennaPod app, users observed that many network requests were missing or using the wrong User-Agent header (for example when tapping the download button or viewing the subscription screen). This can be reproduced by running the app and inspecting outgoing HTTP request headers — the User-Agent is absent in various places, potentially causing under-reporting of app usage. Your task is to identify the root cause component and reason responsible for the User-Agent not being sent consistently.","The predicted root cause component is net/common/src/main/java/de/danoeh/antennapod/net/common/AntennapodHttpClient.java (module: de.danoeh.antennapod.net.common.AntennapodHttpClient) and ui/glide/src/main/java/de/danoeh/antennapod/ui/glide/ApOkHttpUrlLoader.java (module: de.danoeh.antennapod.ui.glide.ApOkHttpUrlLoader). The predicted root cause reason is that the User-Agent interceptor was not applied to all HTTP clients: it was registered as a network interceptor (and thus not applied in all request flows) and the Glide-specific OkHttp client did not include the UserAgentInterceptor, so some requests were sent without the User-Agent header (missing/incorrectly registered interceptor)."
AntennaPod#AntennaPod#7244,"In AntennaPod, there was a problem where attempting to configure Nextcloud synchronization in Settings produced an unhelpful authentication failure: after entering a host and trying to log in the app did not present clear, actionable information (for example that a required Nextcloud/gpoddersync plugin might be missing). Your task is to identify the root cause component and reason","The predicted root cause component is ui/preferences/src/main/java/de/danoeh/antennapod/ui/preferences/screen/synchronization/NextcloudAuthenticationFragment.java (module: de.danoeh.antennapod.ui.preferences.screen.synchronization.NextcloudAuthenticationFragment). The predicted root cause reason is that the fragment's error handling did not surface a user-friendly generic message—errors were only shown via an inline/hidden error view or as raw text, so users were not informed to check network/server address or to install the gpoddersync Nextcloud plugin (missing/insufficient error presentation)."
AntennaPod#AntennaPod#5574,"In the AntennaPod app, right-clicking (using a mouse) on an episode to open the context menu often caused the app to crash, whereas long-pressing the same item worked fine. The crash happened when trying to open the episode menu via a right-click; after opening the menu once with a long-press, subsequent right-clicks would sometimes stop crashing. Your task is to identify the root cause component and reason.","The predicted root cause component is app/src/main/java/de/danoeh/antennapod/adapter/EpisodeItemListAdapter.java (Module: de.danoeh.antennapod.adapter.EpisodeItemListAdapter). The predicted root cause reason is that the code accessed a null longPressedItem when creating the context menu (no handling/initialization for mouse secondary-button right-click), resulting in a NullPointerException / missing null check."
AntennaPod#AntennaPod#4227,"In AntennaPod, there was a problem in the podcast discovery (""Find podcast"" / ""Add Podcast"") flow: when the device network was turned off and the discovery screen showed an error like ""Unable to resolve host ..."", the error message remained after network recovery and the discovery list would not refresh unless the app was restarted (there was no way to manually retry/refresh). Your task is to identify the root cause component and reason","The predicted root cause component is app/src/main/java/de/danoeh/antennapod/fragment/QuickFeedDiscoveryFragment.java (module: de.danoeh.antennapod.fragment.QuickFeedDiscoveryFragment). The predicted root cause reason is that the discovery fragment's error UI/handling did not provide a retry action (it used only a static error view/text and did not expose a retry button or retry handler), so after a network error the UI never offered a way to re-trigger loadToplist (missing retry control/incorrect error view handling)."
AntennaPod#AntennaPod#3153,"In the AntennaPod app, tapping the fast-forward or rewind controls several times in quick succession (from the app UI, notification, or external controller) causes the app to become unresponsive: playback continues, but the app card and notification do not respond and the app must be force-stopped to regain control. Your task is to identify the root cause component and reason: determine which file/module was responsible for this behavior and explain what went wrong to cause the UI/notification freeze.","The predicted root cause component is core/src/main/java/de/danoeh/antennapod/core/service/playback/LocalPSMP.java (module: de.danoeh.antennapod.core.service.playback.LocalPSMP). The predicted root cause reason is a threading/concurrency bug in the seek-completion handling: the seek-complete logic spawned/used separate threads (and invoked callbacks while holding locks/using seekLatch) which led to races/deadlocks around playerLock/seekLatch and callbacks being run on the wrong thread, causing the app to freeze."
AntennaPod#AntennaPod#3186,"In AntennaPod, the app sometimes crashes when playback is resumed after being paused by an incoming call on bluetooth or wired headphones — the user flow is: start playback on headphones, get a call which pauses playback, keep the call long (about 10 minutes) so the interruption is long, then end the call and the app crashes as it tries to restart playback. Your task is to identify the root cause component and reason that leads to this crash (which file/module was changed to fix it, and what went wrong internally).","The predicted root cause component is core/src/main/java/de/danoeh/antennapod/core/service/playback/LocalPSMP.java (module: de.danoeh.antennapod.core.service.playback.LocalPSMP). The predicted root cause reason is that audio-focus/audio callbacks remained registered after the playback service was stopped/killed, so audio focus change callbacks were delivered to a destroyed service whose executors had been shut down (i.e., listeners not removed / audio focus not abandoned), causing the app to crash."
Expensify#App#65466,"In App, there was a crash when performing a basic export from the Report Actions menu: after selecting one or more expenses on a report (tap-and-hold → Select → choose items) and then choosing the Download/Export option from the actions menu, the app crashed. Your task is to identify the root cause component and reason","The predicted root cause component is src/hooks/useSelectedTransactionsActions.ts (module: src.hooks.useSelectedTransactionsActions). The predicted root cause reason is a missing/invalid action handler (missing null check or missing onPress callback) for the new Download/Export push-row action, which resulted in undefined being invoked (state/handler accessed before proper initialization) and caused the crash."
linagora#tmail-flutter#3370,"In tmail-flutter, there was a failure when selecting and moving a very large number of emails (1000+). When the user tried to move the large selection, the app sent the move request and the backend refused to process it due to the request containing too many items. Your task is to identify the root cause component and reason that allowed the app to send that oversized request instead of performing the operation in smaller batches or respecting the server limits.  In tmail-flutter, there was [description of the bug/failure]. Your task is to identify the root cause component and reason","The predicted root cause component is lib/features/email/data/network/email_api.dart (Module: tmail_ui_user.features.email.data.network.EmailAPI). The predicted root cause reason is that the move operation built and sent a single oversized EmailSetRequest (more items than the server's maxSetSize) instead of splitting the work into batches or checking the session capability — i.e., missing batching/limiting logic based on session max set size, causing the backend requestTooLarge error."
linagora#tmail-flutter#3369,"In tmail-flutter, an email containing an inline image referenced by a CID was not rendered in the message body (the image appeared only as an attachment or not at all). The mail contained an <img src=""cid:...""> reference but the corresponding MIME part had no Content-Disposition header. Your task is to identify the root cause component and reason","The predicted root cause component is docs/adr/0038-logic-for-displaying-attachment-types-in-emails.md (and the attachment display logic in the core attachment/display module, e.g. core/lib/src/domain/attachment_display_rules.dart). The predicted root cause reason is that the display logic required Content-Disposition == 'inline' and did not treat a missing disposition (disposition == null) as inline; therefore CID-based parts with no disposition were not considered for inline display (missing handling / missing null check for disposition)."
linagora#tmail-flutter#3265,"In the tmail-flutter repository, users reported that the composer UI showed two vertical scroll bars at once when replying to an email and switching to full-screen, making scrolling confusing and redundant. Your task is to identify the root cause component and reason that led to the double-scrollbar behavior in the composer.","The predicted root cause component is pubspec.lock (the git dependency for the html-editor-enhanced package - https://github.com/linagora/html-editor-enhanced, package module html-editor-enhanced, version bumped from 3.1.1 to 3.1.2). The predicted root cause reason is a bug/regression in the html-editor-enhanced package that introduced a nested/duplicate scrollable area (the editor created its own scrolling behavior) causing two simultaneous scroll bars; fixed by updating the dependency to a version that removes the extra scrollable area."
linagora#tmail-flutter#2890,"In tmail-flutter, there was a calendar event banner that displayed a specific explanatory line (“We are canceling the event due to bad weather.”) even though the underlying .ics did not mention any reason; users expected a neutral message like “XYZ cancelled this meeting.” Your task is to identify the root cause component and reason","The predicted root cause component is lib/features/email/presentation/extensions/calendar_event_extension.dart (Module: lib.features.email.presentation.extensions.CalendarEventExtension) and lib/main/localizations/app_localizations.dart (Module: lib.main.localizations.AppLocalizations). The predicted root cause reason is the use of a hard-coded/localized subtitle for canceled events (the getSubTitleEventAction logic + localization entries) which caused a speculative ""bad weather"" message to be shown in the UI instead of a neutral, data-driven cancellation message."
linagora#tmail-flutter#2903,"In the tmail-flutter repository, HTML links coming from some emails were displayed but not navigable: links that appeared to be quoted-printable / encoded (containing '3D' artifacts and starting with bare 'www') did not open when clicked in the app. This happened while rendering HTML email content in the app's HTML viewer. Your task is to identify the root cause component and reason: name the file/module that needed to be fixed and explain what went wrong (the underlying bug or missing handling that caused these links to be mis-handled).","The predicted root cause component is core/lib/presentation/utils/html_transformer/dom/sanitize_hyper_link_tag_in_html_transformers.dart (Module: core.presentation.utils.html_transformer.dom.SanitizeHyperLinkTagInHtmlTransformer). The predicted root cause reason is that href values were not properly sanitized/normalized: quoted-printable/encoded links and URLs starting with bare ""www"" (missing scheme like http/https) were not decoded or prefixed, so unstandardized/encoded hrefs were not recognized as valid clickable URLs (missing normalization/handling for encoded '3D' sequences and absent URL scheme / mailto handling)."
linagora#tmail-flutter#2772,"In tmail-flutter, there was an issue where printing a long HTML email produced an unexpected blank first page when sending the message to the printer. This happened while printing long emails (HTML content) and caused the printed output to start with a blank sheet. Your task is to identify the root cause component and reason","The predicted root cause component is core/lib/presentation/utils/html_transformer/dom/remove_style_tag_outside_transformers.dart (Module: core.presentation.utils.html_transformer.dom.RemoveStyleTagOutsideTransformer) and also related transformer core/lib/presentation/utils/html_transformer/dom/remove_max_width_in_image_style_transformers.dart (Module: core.presentation.utils.html_transformer.dom.RemoveMaxWidthInImageStyleTransformer) as wired in core/lib/presentation/utils/html_transformer/transform_configuration.dart. The predicted root cause reason is leftover CSS in the email HTML (style tags and inline image style like ""max-width:100%"") that affected print layout, causing a layout/overflow that produced a blank first page (missing removal/normalization of those style rules before printing)."
linagora#tmail-flutter#2345,"In tmail-flutter, there was a UI bug where attachments for some emails were not visible in the email view even though the message list indicated an attachment. This occurred specifically for emails whose attachments included a Content-ID (cid). Your task is to identify the root cause component and reason that led to attachments not being displayed in the email detail view.","The predicted root cause component is model/lib/extensions/list_attachment_extension.dart (module: model.lib.extensions.list_attachment_extension.ListAttachmentExtension) and the related model/lib/email/attachment.dart (module: model.lib.email.attachment.Attachment). The predicted root cause reason is that the attachment filtering logic omitted attachments that had a Content-ID but were not actually inlined: the code only checked for absence of cid when deciding to display attachments outside the HTML content and lacked a check for the Content-Disposition (inline vs. attachment), causing non-inlined cid-marked attachments to be excluded from the displayed attachments list."
